NomenclatureCode,Nomenclature,ProductGroup,ProductGroupDescription,ProductCode,ProductDescription
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20680,"Fresh or chilled edible offal of sheep, goats,"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20690,"Frozen edible offal of sheep, goats, horses..."
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20710,Fresh or chilled whole poultry
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20721,Frozen whole chickens
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20722,Frozen whole turkeys
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20723,"Frozen whole ducks, geese and guinea fowls"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20731,Fresh or chilled fatty livers of geese or ducks
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20739,Fresh or chilled poultry cuts and offal (excl.
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20741,Frozen cuts and offal of chicken (excl. livers)
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20742,Frozen cuts and offal of turkey (excl. livers)
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20743,"Frozen cuts and offal of geese, ducks and guine"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20750,Frozen poultry livers
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,0207AA,  UN Special Code
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20810,"Fresh, chilled or frozen meat and edible offal"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20820,"Fresh, chilled or frozen frogs' legs"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20890,"Fresh, chilled or frozen meat and edible offal,"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30110,Live ornamental fish
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30191,Live trout
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30192,Live eels
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30193,Live carp
